Title,Hour Rate
Acad Prog Spec,23.63
Acad Prog Spec,23.28
Acad Prog Spec,21.60
Acad Prog Spec,21.08
Acad Prog Spec,21.07
Acad Prog Spec,20.49
Acad Prog Spec,20.45
Acad Prog Spec,20.15
Acad Prog Spec,20.15
Acad Prog Spec,20.15
Acad Prog Spec,20.14
Acad Prog Spec,19.65
Acad Prog Spec,19.56
Acad Prog Spec,18.86
Account Clerk II,18.73
Account Clerk II,17.63
Account Clerk II,17.63
Account Clerk II,17.02
Account Clerk II,16.08
Account Clerk II,15.22
Account Clerk II,15.22
Account Clerk III,22.90
Account Clerk III,22.56
Account Clerk III,19.94
Account Clerk III,19.57
Account Clerk III,18.81
Account Clerk III,18.24
Account Clerk III,17.43
Account Clerk III,17.41
Account Clerk III,16.75
Account Clerk III,16.75
Accountant I,26.70
Accountant I,24.89
Accountant I,23.10
Accountant I,22.53
Accountant I,21.78
Accountant I,21.78
Accountant I,20.27
Accountant I,18.78
Accounting Assoc,26.04
Accounting Assoc,25.95
Accounting Assoc,25.44
Accounting Assoc,25.07
Accounting Assoc,25.07
Accounting Assoc,25.01
Accounting Assoc,22.90
Accounting Assoc,21.60
Accounting Assoc,21.19
Accounting Assoc,21.14
Accounting Assoc,21.08
Accounting Assoc,20.93
Accounting Assoc,20.89
Accounting Assoc,20.45
Accounting Assoc,20.45
Accounting Assoc,20.15
Accounting Assoc,20.03
Accounting Assoc,20.03
Accounting Assoc,19.97
Accounting Assoc,19.96
Accounting Assoc,19.40
Accounting Assoc,19.23
Accounting Assoc,19.14
Accounting Assoc,18.89
Accounting Assoc,18.20
Accounting Assoc,18.07
Accounting Assoc,17.56
Admin Asst I,21.56
Admin Asst I,21.32
Admin Asst I,21.10
Admin Asst I,20.78
Admin Asst I,20.60
Admin Asst I,20.56
Admin Asst I,20.19
Admin Asst I,20.17
Admin Asst I,20.00
Admin Asst I,19.90
Admin Asst I,19.66
Admin Asst I,19.51
Admin Asst I,19.51
Admin Asst I,19.05
Admin Asst I,18.86
Admin Asst I,18.64
Admin Asst I,18.61
Admin Asst I,18.59
Admin Asst I,18.55
Admin Asst I,18.36
Admin Asst I,18.36
Admin Asst I,18.19
Admin Asst I,18.02
Admin Asst I,17.83
Admin Asst I,17.59
Admin Asst I,17.38
Admin Asst I,17.35
Admin Asst I,17.20
Admin Asst I,17.18
Admin Asst I,17.17
Admin Asst I,17.17
Admin Asst I,17.17
Admin Asst I,17.16
Admin Asst I,16.93
Admin Asst I,16.82
Admin Asst I,16.75
Admin Asst I,16.75
Admin Asst I,16.75
Admin Asst I,16.66
Admin Asst II,24.65
Admin Asst II,24.40
Admin Asst II,24.39
Admin Asst II,24.37
Admin Asst II,24.35
Admin Asst II,24.34
Admin Asst II,24.34
Admin Asst II,24.11
Admin Asst II,23.84
Admin Asst II,23.71
Admin Asst II,21.80
Admin Asst II,21.67
Admin Asst II,21.41
Admin Asst II,21.34
Admin Asst II,21.27
Admin Asst II,21.23
Admin Asst II,21.07
Admin Asst II,20.92
Admin Asst II,20.81
Admin Asst II,20.73
Admin Asst II,20.68
Admin Asst II,20.66
Admin Asst II,20.45
Admin Asst II,20.45
Admin Asst II,20.45
Admin Asst II,20.45
Admin Asst II,20.24
Admin Asst II,20.24
Admin Asst II,20.15
Admin Asst II,20.15
Admin Asst II,20.15
Admin Asst II,20.06
Admin Asst II,19.94
Admin Asst II,19.92
Admin Asst II,19.66
Admin Asst II,19.66
Admin Asst II,19.65
Admin Asst II,19.65
Admin Asst II,19.65
Admin Asst II,19.62
Admin Asst II,19.46
Admin Asst II,19.45
Admin Asst II,19.40
