Title,Hour Rate
Auto Serv Tech,25.93
Auto Serv Tech,25.55
Auto Serv Tech,25.07
Auto Serv Tech,24.77
Auto Serv Tech,23.75
Auto Serv Tech,22.83
Auto Shop Supv,30.54
Auto Shop Supv,30.47
Auto Shop Supv,27.44
Auto Shop Supv,27.25
Auto Shop Supv,26.11
Baker,16.83
Brick/Stone mason,27.21
Brick/Stone mason,20.83
Business Serv Spec,28.92
Business Serv Spec,27.94
Business Serv Spec,27.56
Business Serv Spec,27.20
Business Serv Spec,27.16
Business Serv Spec,25.62
Business Serv Spec,25.62
Business Serv Spec,25.61
Business Serv Spec,25.12
Business Serv Spec,25.12
Business Serv Spec,25.02
Business Serv Spec,24.87
Business Serv Spec,24.86
Business Serv Spec,24.83
Business Serv Spec,24.48
Business Serv Spec,24.38
Business Serv Spec,24.38
Business Serv Spec,24.38
Business Serv Spec,24.37
Business Serv Spec,24.34
Business Serv Spec,24.32
Business Serv Spec,24.26
Business Serv Spec,24.26
Business Serv Spec,24.18
Business Serv Spec,24.15
Business Serv Spec,24.01
Business Serv Spec,23.98
Business Serv Spec,23.95
Business Serv Spec,23.82
Business Serv Spec,23.78
Business Serv Spec,23.77
Business Serv Spec,23.66
Business Serv Spec,23.64
Business Serv Spec,23.61
Business Serv Spec,23.57
Business Serv Spec,23.54
Business Serv Spec,23.52
Business Serv Spec,23.50
Business Serv Spec,23.46
Business Serv Spec,23.46
Business Serv Spec,23.42
Business Serv Spec,23.33
Business Serv Spec,23.31
Business Serv Spec,23.31
Business Serv Spec,23.04
Business Serv Spec,23.00
Business Serv Spec,22.94
Business Serv Spec,22.91
Business Serv Spec,22.83
Business Serv Spec,22.80
Business Serv Spec,22.80
Business Serv Spec,22.80
Business Serv Spec,22.63
Business Serv Spec,22.47
Business Serv Spec,22.21
Business Serv Spec,22.10
Business Serv Spec,21.99
Business Serv Spec,21.99
Business Serv Spec,21.96
Business Serv Spec,21.95
Business Serv Spec,21.83
Business Serv Spec,21.83
Business Serv Spec,21.83
Business Serv Spec,21.73
Business Serv Spec,21.60
Business Serv Spec,21.52
Business Serv Spec,21.52
Business Serv Spec,21.49
Business Serv Spec,21.43
Business Serv Spec,21.42
Business Serv Spec,21.40
Business Serv Spec,21.40
Business Serv Spec,21.35
Business Serv Spec,21.16
Business Serv Spec,21.14
Business Serv Spec,20.83
Business Serv Spec,20.83
Business Serv Spec,20.83
Business Serv Spec,20.83
Business Serv Spec,20.83
Business Serv Spec,20.80
Business Serv Spec,20.39
Buyers Clerk Sr,18.12
CAD Spec II,27.24
CDL Instructor,24.23
CDL Instructor,23.36
CDL Instructor,23.20
CDL Instructor,22.64
CDL Instructor,22.64
CDL Instructor,22.42
CDL Instructor,21.87
CDL Instructor,21.87
CDL Instructor,21.47
CDL Instructor,21.04
CDL Instructor,21.00
CDL Instructor,20.49
CDL Instructor,20.49
CDL Instructor,20.29
CDL Instructor,20.29
CDL Instructor,19.99
CDL Instructor,19.99
CDL Instructor,19.99
CDL Instructor,19.99
CDL Instructor,19.99
CDL Instructor,19.99
Cabinetmaker,24.62
Carpenter,20.12
Carpenter,19.91
Carpenter,19.91
Carpenter,19.85
Clinic Coord,19.98
Clinic Coord,19.80
Clinic Coord,19.06
Clinic Coord,18.89
Clinic Coord,18.22
Clinic Coord,14.45
Collections Spec,26.23
Collections Spec,25.19
Collections Spec,24.78
Collections Spec,24.56
Collections Spec,24.56
Collections Spec,24.26
Collections Spec,21.42
Collections Spec,21.10
Collections Spec,20.83
Collections Spec,20.83
Cook,22.45
Cook,22.45
Cook,22.09
Cook,19.98
Cook,19.48
Cook,18.91
Cook,18.82
Cook,18.61
Cook,17.81
Cook,17.81
Cook,17.81
Cook,17.81
Cook,17.81
Cook,17.54
Cook,17.44
Cook,17.37
Cook,17.37
Cook,17.37
Cook,17.37
Cook,17.37
Cook,17.37
Cook,17.37
Cook,17.37
Cook,17.37
Cook,17.37
Cook,17.37
Cook,17.11
Cook,17.11
Cook,17.11
Cook,17.11
Cook,17.11
Cook,17.11
Cook,17.11
Cook,17.11
Cook,17.11
Cook,16.94
Din Serv Coord,22.90
Din Serv Coord,21.18
Din Serv Coord,19.16
Din Serv Coord,18.58
Din Serv Coord,18.39
Din Serv Coord,18.22
Din Serv Coord,18.22
Din Serv Coord,18.12
Driver,17.85
Driver,17.85
Driver Waste Mgmt,24.59
Driver Waste Mgmt,23.63
Driver Waste Mgmt,23.52
Driver Waste Mgmt,21.09
"Driver, Bus",24.34
"Driver, Bus",23.43
"Driver, Bus",22.86
"Driver, Bus",22.04
"Driver, Bus",22.04
"Driver, Bus",22.04
"Driver, Bus",22.04
"Driver, Bus",20.91
"Driver, Bus",20.53
"Driver, Bus",20.08
"Driver, Bus",19.72
"Driver, Bus",19.72
"Driver, Bus",19.72
"Driver, Bus",19.72
"Driver, Bus",19.72
"Driver, Bus",19.72
"Driver, Bus",19.72
"Driver, Bus",19.72
"Driver, Bus",19.72
"Driver, Bus",19.72
"Driver, Bus",19.72
"Driver, Bus",19.72
"Driver, Bus",19.37
"Driver, Bus",18.99
"Driver, Bus",18.75
