Title,Hour Rate
Acad Prog Spec,25.08
Acad Prog Spec,21.90
Acad Prog Spec,21.81
Acad Prog Spec,21.74
Acad Prog Spec,21.73
Acad Prog Spec,20.85
Acad Prog Spec,20.76
Acad Prog Spec,20.55
Acad Prog Spec,20.01
Account Clerk II,19.88
Account Clerk II,19.37
Account Clerk II,18.06
Account Clerk II,17.49
Account Clerk II,16.14
Account Clerk III,21.16
Account Clerk III,20.95
Account Clerk III,20.76
Account Clerk III,19.96
Account Clerk III,19.83
Account Clerk III,18.54
Account Clerk III,18.48
Account Clerk III,17.77
Account Clerk III,17.77
Account Clerk III,17.76
Account Clerk III,17.28
Accountant I,29.04
Accountant I,28.20
Accountant I,24.51
Accountant I,24.51
Accountant I,23.11
Accountant I,22.53
Accountant I,21.56
Accountant I,21.29
Accountant I,19.92
Accountant I,19.18
Accounting Assoc,27.63
Accounting Assoc,26.99
Accounting Assoc,26.61
Accounting Assoc,26.54
Accounting Assoc,24.30
Accounting Assoc,23.28
Accounting Assoc,22.48
Accounting Assoc,22.43
Accounting Assoc,21.70
Accounting Assoc,21.70
Accounting Assoc,21.38
Accounting Assoc,21.26
Accounting Assoc,21.25
Accounting Assoc,21.19
Accounting Assoc,21.18
Accounting Assoc,20.86
Accounting Assoc,20.58
Accounting Assoc,20.40
Accounting Assoc,20.31
Accounting Assoc,19.31
Accounting Assoc,19.31
Admin Asst I,22.88
Admin Asst I,22.62
Admin Asst I,22.39
Admin Asst I,22.05
Admin Asst I,21.86
Admin Asst I,21.40
Admin Asst I,21.23
Admin Asst I,21.11
Admin Asst I,20.95
Admin Asst I,20.70
Admin Asst I,20.01
Admin Asst I,19.78
Admin Asst I,19.72
Admin Asst I,19.68
Admin Asst I,19.48
Admin Asst I,19.48
Admin Asst I,19.30
Admin Asst I,19.30
Admin Asst I,19.12
Admin Asst I,18.99
Admin Asst I,18.71
Admin Asst I,18.67
Admin Asst I,18.22
Admin Asst I,18.22
Admin Asst I,18.21
Admin Asst I,18.10
Admin Asst I,17.94
Admin Asst I,17.85
Admin Asst I,17.77
Admin Asst I,17.76
Admin Asst I,17.42
Admin Asst II,26.15
Admin Asst II,25.89
Admin Asst II,25.83
Admin Asst II,25.83
Admin Asst II,25.82
Admin Asst II,25.58
Admin Asst II,25.30
Admin Asst II,24.08
Admin Asst II,23.13
Admin Asst II,22.99
Admin Asst II,22.52
Admin Asst II,22.36
Admin Asst II,22.36
Admin Asst II,22.16
Admin Asst II,22.01
Admin Asst II,22.01
Admin Asst II,21.94
Admin Asst II,21.94
Admin Asst II,21.77
Admin Asst II,21.70
Admin Asst II,21.55
Admin Asst II,21.38
