Title,Hour Rate
Univ Pol Off III,49.27
Univ Pol Off IV,46.09
Univ Pol Off IV,44.97
Univ Pol Off III,44.63
HVAC Chief,43.38
Univ Pol Off IV,42.80
Univ Pol Off IV,42.80
HVAC Chief,42.68
Univ Pol Off III,42.48
HVAC Chief,42.17
Univ Pol Off IV,41.76
Univ Pol Off IV,41.76
Univ Pol Off IV,41.76
HVAC Chief,41.51
HVAC Chief,41.50
HVAC Chief,40.93
HVAC Chief,40.49
Univ Pol Off III,40.44
Univ Pol Off III,40.44
Univ Pol Off III,40.44
HVAC Chief,40.10
Univ Pol Off IV,39.75
Univ Pol Off IV,39.75
Univ Pol Off IV,39.75
Univ Pol Off IV,39.75
Univ Pol Off III,39.45
Univ Pol Off III,39.45
HVAC Chief,39.31
HVAC Chief,39.22
HVAC Chief,38.98
Univ Pol Off IV,38.78
Univ Pol Off IV,38.78
HVAC Chief,38.49
Univ Pol Off III,38.49
Univ Pol Off III,38.49
Univ Pol Off III,38.49
HVAC Chief,38.13
Eng Tech III,37.46
MT Mlt Trd Sv III,37.35
IT Telecom Spec,37.14
IT Support Spec,36.94
Univ Pol Off IV,36.91
HVAC Chief,36.89
Univ Pol Off III,36.63
Univ Pol Off III,36.63
Univ Pol Off III,36.63
Univ Pol Off III,36.63
MT Mlt Td Chf II,36.60
Elec Sys Rel Tech,36.33
HVAC Chief,36.26
HVAC Mech III,36.26
IT Telecom Spec,36.18
HVAC Chief,36.15
Plumber Spec,36.06
HVAC Chief,36.05
HVAC Chief,36.00
Hvac Mech II,35.90
Univ Pol Off III,35.74
Univ Pol Off III,35.74
Univ Pol Off III,35.74
Univ Pol Off III,35.74
Univ Pol Off III,35.74
Univ Pol Off III,35.74
IT Telecom Spec,35.60
HVAC Chief,35.56
Prg Admin Spec,35.55
IT Telecom Spec,35.46
HVAC Mech III,35.43
HVAC Chief,35.39
IT Support Spec,35.28
MT Mlt Trd Sv III,35.20
MT Mlt Td Chf II,35.18
HVAC Chief,35.14
Univ Pol Off IV,35.13
HVAC Mech III,35.12
Univ Pol Off III,34.87
Univ Pol Off III,34.87
Univ Pol Off III,34.87
Univ Pol Off III,34.87
HVAC Chief,34.83
HVAC Mech III,34.77
Prg Admin Spec,34.71
IT Telecom Spec,34.67
IT Telecom Spec,34.67
IT Programmer II,34.54
HVAC Chief,34.32
HVAC Chief,34.31
HVAC Mech III,34.25
HVAC Chief,34.21
IT Com Op Sh Supv,34.20
HVAC Chief,34.19
MT Mlt Trd Sv III,34.10
HVAC Mech III,34.06
Univ Pol Off III,34.02
HVAC Chief,33.82
HVAC Chief,33.82
HVAC Chief,33.73
HVAC Mech III,33.73
HVAC Chief,33.70
MT Mlt Td Chf III,33.58
Elec Sys Rel Tech,33.46
IT Support Spec,33.42
Elec Sys Rel Tech,33.37
Elec Sys Rel Tech,33.37
Elec Sys Rel Tech,33.37
Elec Sys Rel Tech,33.37
Plumber Spec,33.37
Plumber Spec,33.37
Plumber Spec,33.37
IT Telecom Spec,33.36
IT Telecom Spec,33.36
Pest Control Spec,33.22
IT Telecom Spec,33.21
HVAC Mech III,33.20
HVAC Chief,33.18
Eng Tech III,33.01
MT Strc Td Sv II,32.98
Elec Sys Rel Tech,32.90
Elec Sys Rel Tech,32.90
MT Mlt Trd Sv III,32.83
HVAC Mech III,32.66
Electronics Technician III,32.57
HVAC Mech III,32.57
HVAC Chief,32.54
Agric Tech Supv,32.39
HVAC Chief,32.39
Univ Pol Off III,32.38
Univ Pol Off III,32.38
Eng Tech III,32.37
Hvac Mech II,32.37
Hvac Mech II,32.35
Auto Shop Supv,32.33
Agric Tech Supv,32.29
MT Mlt Td Chf II,32.28
Auto Shop Supv,32.27
Elec Sys Rel Tech,32.23
IT Programmer II,32.22
HVAC Chief,32.20
MT Mlt Trd Sv II,32.11
Business Serv Spec,32.03
Prg Admin Spec,31.97
HVAC Chief,31.92
Electronics Technician III,31.83
Prg Admin Spec,31.83
Eng Tech III,31.82
Hvac Mech II,31.74
Hvac Mech II,31.72
IT PC Spec II,31.71
Prg Admin Spec,31.68
IT Telecom Spec,31.61
IT Telecom Spec,31.61
Univ Pol Off III,31.59
Univ Pol Off III,31.59
Univ Pol Off III,31.59
Univ Pol Off III,31.59
Univ Pol Off III,31.59
Univ Pol Off III,31.59
Univ Pol Off III,31.59
IT Support Spec,31.54
HVAC Chief,31.52
HVAC Mech III,31.52
HVAC Chief,31.50
Electronics Technician III,31.47
Prg Admin Spec,31.37
HVAC Chief,31.33
MT Mlt Trd Sv III,31.32
Housekeeping Chf,31.29
Prg Admin Spec,31.29
Agric Tech Supv,31.16
IT Telecom Spec,31.13
Prg Admin Spec,31.09
Elec Sys Rel Tech,31.08
Elec Sys Rel Tech,31.08
IT Support Assoc,31.08
Electronics Technician III,31.05
Auto Serv Tech,31.00
Auto Serv Tech,31.00
Auto Serv Tech,31.00
Auto Serv Tech,31.00
Auto Serv Tech,31.00
Elec Sys Rel Tech,30.91
IT Telecom Spec,30.86
HVAC Mech III,30.85
MT Mlt Td Chf II,30.85
HVAC Chief,30.84
IT Telecom Spec,30.84
IT Telecom Spec,30.84
Univ Pol Off III,30.82
Auto Serv Tech,30.65
Business Serv Spec,30.62
IT Telecom Spec,30.57
Electrician,30.55
Plumber,30.54
Plumber,30.54
Hvac Mech II,30.46
HVAC Mech I,30.35
HVAC Mech III,30.26
Prg Admin Spec,30.26
Fac Supv,30.21
Exec Adm Asst II,30.20
Elec Sys Rel Tech,30.16
Plumber Spec,30.16
MT Mlt Trd Sv II,30.15
MT Mlt Trd Sv II,30.15
MT Mlt Trd Sv II,30.15
MT Mlt Trd Sv II,30.15
MT Mlt Trd Sv II,30.12
Accountant I,30.06
Prog Mgmt Spec,30.06
Plumber Spec,30.02
MT Mlt Trd Sv II,30.01
HVAC Mech III,29.94
Plumber,29.80
IT Support Spec,29.75
MT Mlt Trd Sv III,29.73
MT Mlt Td Chf III,29.72
Prg Admin Spec,29.68
Prog Mgmt Spec,29.62
Electronics Technician III,29.59
Eng Tech III,29.57
IT Programmer II,29.56
MT Mlt Trd Sv III,29.56
Agric Tech Supv,29.54
MT Mlt Trd Sv II,29.54
Electronics Technician III,29.52
Library Serv Supv,29.41
Prg Admin Spec,29.34
MT Mlt Td Chf II,29.30
Elec Sys Rel Tech,29.28
Prg Admin Spec,29.28
Prog Mgmt Spec,29.25
Post Serv Supv II,29.21
Accountant I,29.20
Business Serv Spec,29.18
Prog Mgmt Spec,29.15
IT Support Assoc,29.13
Univ Pol Off II,29.11
Univ Pol Off II,29.11
Univ Pol Off II,29.11
Univ Pol Off II,29.11
Univ Pol Off II,29.11
MT Maint Mech Ld,29.10
Auto Serv Tech,29.02
Auto Serv Tech,29.02
Multi Media Tech,29.01
Prg Admin Spec,29.01
Exec Adm Asst I,28.98
HVAC Mech III,28.98
Prog Mgmt Spec,28.86
CAD Spec II,28.84
Elec Sys Rel Tech,28.84
Elec Sys Rel Tech,28.84
Eng Tech III,28.84
HVAC Mech III,28.84
HVAC Mech III,28.84
IT Support Spec,28.84
IT Support Spec,28.84
IT Support Spec,28.84
IT Support Spec,28.84
MT Mlt Td Chf II,28.84
Phys Sci Tech III,28.84
Eng Tech III,28.83
Brick/Stone mason,28.81
Business Serv Spec,28.80
MT Mlt Trd Sv III,28.80
Prg Admin Spec,28.78
Prog Mgmt Spec,28.78
Business Serv Spec,28.76
MT Mlt Trd Sv II,28.76
MT Mlt Td Chf II,28.73
Agric Tech Supv,28.66
PS Prt Serv Sv II,28.64
Accounting Assoc,28.60
Agric Tech Supv,28.60
Exec Adm Asst II,28.59
Hvac Mech II,28.53
Prg Admin Spec,28.50
MT Mlt Td Chf III,28.45
MT Mech Td Sv I,28.42
MT Mlt Trd Sv II,28.42
MT Mlt Td Chf II,28.38
Prog Mgmt Spec,28.32
Auto Serv Tech,28.31
IT Support Assoc,28.30
Prg Admin Spec,28.30
Prg Admin Spec,28.30
Post Serv Supv II,28.29
IT Support Assoc,28.22
MT Mlt Td Chf III,28.22
PS Print Services Spvsr I,28.19
MT Mlt Td Chf III,28.16
MT Mlt Td Chf III,28.16
MT Mlt Trd Sv II,28.13
MT Mlt Td Chf III,28.12
Electronics Technician III,28.10
Electronics Technician III,28.10
Eng Tech III,28.10
Phys Sci Tech II,28.10
MT Mlt Trd Sv II,28.09
MT Mlt Trd Sv II,28.09
Pest Control Spec,28.04
MT Mlt Td Chf II,27.99
MT Mlt Td Chf II,27.99
MT Mlt Td Chf II,27.96
Accounting Assoc,27.94
Prg Admin Spec,27.90
IT Support Assoc,27.89
Prg Admin Spec,27.85
IT Com Op Sh Supv,27.83
Business Serv Spec,27.80
Collections Spec,27.77
Exec Adm Asst II,27.72
Auto Shop Supv,27.64
IT Support Assoc,27.64
Prg Admin Spec,27.62
Accounting Assoc,27.54
Prog Mgmt Spec,27.53
Prg Admin Spec,27.52
Agric Tech Supv,27.47
Auto Serv Tech,27.47
Auto Serv Tech,27.46
MT Mlt Trd Sv II,27.43
MT Mlt Td Chf II,27.42
Housekeeping Supv II,27.33
IT Telecom Assoc,27.29
MT Mlt Trd Sv II,27.23
Prog Mgmt Spec,27.22
IT Support Asst,27.18
Agric Tech Supv,27.16
MT Mlt Td Chf III,27.14
Business Serv Spec,27.13
Business Serv Spec,27.13
Prg Admin Spec,27.12
Prog Mgmt Spec,27.11
Admin Asst II,27.07
MT Mlt Trd Sv II,27.07
Auto Serv Tech,27.06
Pest Control Spec,27.03
IT Support Assoc,26.99
IT Support Asst,26.98
Agric Tech Lead,26.97
IT Support Assoc,26.97
IT Support Assoc,26.97
IT Telecom Assoc,26.97
MT Mlt Trd Sv II,26.97
MT Mlt Trd Sv II,26.97
MT Mlt Trd Sv II,26.97
MT Mlt Trd Sv II,26.97
MT Mlt Trd Sv II,26.97
MT Mlt Trd Sv II,26.97
MT Mlt Trd Sv II,26.97
MT Mlt Trd Sv II,26.97
MT Mlt Trd Sv II,26.97
MT Mlt Trd Sv II,26.97
MT Mlt Trd Sv II,26.97
MT Mlt Trd Sv II,26.97
Plumber Spec,26.97
IT Support Assoc,26.96
MT Mlt Trd Sv II,26.96
MT Mlt Trd Sv II,26.93
Business Serv Spec,26.88
MT Mlt Td Chf II,26.84
Univ Pol Off I,26.83
Admin Asst II,26.80
Prg Admin Spec,26.80
Sec Spec Ld,26.80
Parking Enforcement Supvsr,26.79
IT Support Asst,26.78
Admin Asst II,26.75
Admin Asst II,26.74
Admin Asst II,26.73
MT Mlt Trd Sv II,26.73
Prg Admin Spec,26.63
Business Serv Spec,26.60
Business Serv Spec,26.60
MT Mlt Td Chf II,26.60
MT Mlt Td Chf II,26.56
Prog Mgmt Spec,26.56
Agric Tech Supv,26.54
MT Strc Td Sv II,26.54
Prg Admin Spec,26.49
Admin Asst II,26.48
Electrician,26.42
Agric Tech Lead,26.39
Prg Admin Spec,26.39
Storekeeper III,26.39
MT Mlt Td Chf III,26.37
Prg Admin Spec,26.37
Library Serv Spec,26.35
Food Serv Spec,26.34
Business Serv Spec,26.33
Business Serv Spec,26.31
CDL Instructor,26.30
Prg Admin Spec,26.30
Business Serv Spec,26.29
Prg Admin Spec,26.29
